# Autonomous Earner — 判断ログ
# 形式: [ISO日時] DECISION: 判断内容 | REASON: 理由 | CONFIDENCE: 確信度(0-1)
[2026-02-17T23:44:28Z] DECISION: プライマリニッチを「AI/SaaS tools for solopreneurs and freelancers」に決定 | REASON: 市場調査の結果、AI/SaaSが2026年最高の収益ポテンシャルニッチであり、リカーリングコミッション30%が標準。ソロプレナー向けマイクロニッチで大手との差別化が可能。 | CONFIDENCE: 0.75
[2026-02-17T23:44:28Z] DECISION: 収益モデルをSEOアフィリエイト（SaaS recurring + Amazon物販）に決定 | REASON: SaaSのリカーリングコミッションは長期収益に最適。物販（ホームオフィス用品）で即時収益も狙える。 | CONFIDENCE: 0.70
[2026-02-17T23:44:28Z] DECISION: サイト名を「SoloStack」に決定、英語コンテンツで展開 | REASON: 英語圏の市場規模が圧倒的に大きい。ソロプレナー向けAIスタックというポジショニングが明確。 | CONFIDENCE: 0.70
[2026-02-17T23:44:28Z] DECISION: 初記事を「7 Best AI Tools for Freelancers in 2026」に決定 | REASON: 高い検索意図（購買意図あり）、競合記事が多いが差別化可能（実用的な使い方に特化）、アフィリエイトリンク設置の自然な機会が多い。 | CONFIDENCE: 0.65
[2026-02-17T23:44:28Z] DECISION: 既存のGitHub Pagesホスティングをそのまま使用 | REASON: 既にastro.configに設定済み。まずはコンテンツ量産を優先し、トラフィック増加後にCloudflare Pagesへ移行検討。 | CONFIDENCE: 0.80
[2026-02-18T00:05:08Z] DECISION: content.config.tsにtags/keywordsフィールドを追加 | REASON: SEO最適化のためメタデータ拡充が必要。default([])で後方互換性を維持し既存記事のビルドが壊れない。 | CONFIDENCE: 0.90
[2026-02-18T00:05:08Z] DECISION: 第2記事を「ChatGPT vs Claude for Freelancers」比較記事に決定 | REASON: キューの最優先タスク(Task#2)。比較記事は購買意図が高いキーワードを狙え、アフィリエイトリンク設置の自然な機会が多い。バンディット配分の25%(comparison_articles)に該当。 | CONFIDENCE: 0.75
[2026-02-18T00:05:08Z] DECISION: 既存2記事にtags/keywordsを追加してSEOメタデータを統一 | REASON: 新スキーマの実効性を全記事で統一。将来のタグ別ページ生成やSEO分析の基盤作り。 | CONFIDENCE: 0.85
[2026-02-18T01:00:00Z] DECISION: 第3記事を「How to Automate Your Freelance Business with Zapier」ワークフローガイドに決定 | REASON: キュー最優先のpendingタスク(Task#3)。ワークフローガイドはバンディット配分の20%(workflow_guides)に該当。Zapierは既に記事1でも紹介済みで内部リンク構築可能。how-toキーワードは検索意図が明確。 | CONFIDENCE: 0.80
[2026-02-18T01:00:00Z] DECISION: 記事構成を「10個の独立ワークフロー + ROI計算テーブル」形式に決定 | REASON: 競合分析の結果、HackerNoonの12 integrations記事が上位だが具体的なステップが不足。各ワークフローにProblem→Workflow→Time Saved→Pro Tipの統一フォーマットを採用し差別化。ROI計算で説得力を追加。 | CONFIDENCE: 0.75
[2026-02-18T01:00:00Z] DECISION: 新規タスク追加: Zapier vs Make vs n8n比較記事、クライアントオンボーディング自動化ガイド | REASON: Zapier記事からの自然な派生テーマ。比較記事(Task#10)はバンディット配分25%に該当し購買意図が高い。オンボーディングガイド(Task#11)は記事内の個別セクションを深堀りする形で内部リンク強化。 | CONFIDENCE: 0.70
[2026-02-18T02:00:00Z] DECISION: 第4記事を「Best Standing Desks for Home Office 2026」レビュー記事に決定 | REASON: キュー最優先のpendingタスク(Task#4)。ホームオフィスセットアップはバンディット配分の15%(home_office_setup)に該当。セカンダリニッチ「home office ergonomics」の初記事として物理製品のAmazon Associatesアフィリエイト基盤を構築。 | CONFIDENCE: 0.80
[2026-02-18T02:00:00Z] DECISION: 記事構成を「7製品レビュー + 比較テーブル + 選び方ガイド + 使い方Tips」形式に決定 | REASON: 競合分析の結果、Tom's Guide/TechRadar/BTODの上位記事は全て比較テーブル+個別レビュー形式。差別化ポイント: 体型別・セットアップ別・予算別の選び方ガイドを追加。研究データ(BMJ, Steelcase)を引用して信頼性を確保。 | CONFIDENCE: 0.80
